date,bitcoin_price,bitcoin_market_cap,bitcoin_volume,ethereum_price,ethereum_market_cap,ethereum_volume
2017-12-20,16496.89,,47992.44424371,802.86,,341649.85084019
2017-12-21,15758.8,,28740.89368429,796.98,,249165.60279887
2017-12-22,14210.57,,103039.93421339,682.11,,838405.70542309
2017-12-23,15075.89,,30795.88799527,732.8,,203543.16648422
2017-12-24,14221.94,,24834.83362307,697.04,,173846.03845096
2017-12-25,14171.98,,15425.35357187,740.5,,125678.41700524
2017-12-26,15790.88,,22462.7056247,755.07,,101773.79267031
2017-12-27,15367.08,,24957.62817381,739.99,,127594.32418255
2017-12-28,14450.01,,31273.57825037,719.5,,184333.05438818
2017-12-29,14565.05,,18476.05198941,748.89,,155267.18744139
2017-12-30,12839.99,,28787.73764058,710.58,,135167.77156992
2017-12-31,13863.13,,18604.28576752,741.27,,89048.14792704
2018-01-01,13480.01,,12295.00653579,759.03,,87376.83947108
2018-01-02,14781.51,,26387.93493436,865.0,,370299.26995958
2018-01-03,15098.14,,17877.49528646,938.31,,306487.14249665
2018-01-04,15144.99,,20010.43634249,949.0,,316803.96238412
2018-01-05,16960.01,,22917.78066891,969.27,,277363.74285238
2018-01-06,17098.99,,14104.21391996,1006.68,,126077.38026582
2018-01-07,16174.22,,12341.08084887,1118.3,,180428.27762373
2018-01-08,14993.74,,23151.96462195,1137.01,,387581.63428549
2018-01-09,14480.99,,15384.62464501,1290.01,,279844.04240321
2018-01-10,14875.18,,22664.54513634,1246.94,,387754.78898298
2018-01-11,13308.06,,28889.12130985,1137.01,,403973.32204112
2018-01-12,13820.0,,14816.77240977,1260.0,,217366.85071187
2018-01-13,14187.95,,10491.10485473,1386.02,,206633.43741285
2018-01-14,13656.23,,10783.39313813,1365.46,,148724.40647829
2018-01-15,13590.0,,10511.84043108,1278.63,,130053.00817551
2018-01-16,11570.01,,62207.83296297,1080.0,,670580.77884899
2018-01-17,11200.01,,63957.23278928,1028.06,,855374.32707121
2018-01-18,11305.53,,30134.64772622,1025.78,,355917.02420489
2018-01-19,11498.99,,15959.30876174,1037.45,,168398.26483981
2018-01-20,12762.8,,18749.95639326,1150.02,,166622.96451295
2018-01-21,11518.17,,16426.17776825,1047.13,,159406.456775
2018-01-22,10766.7,,24352.57045749,999.68,,221314.9038768
2018-01-23,10824.94,,21897.02947424,984.03,,215044.38062351
